Auto-Generated Report (Modified K-Means Algorithm with three clusters)
Total Records: 4922
Total Clusters: 3
Most-Relevant: 524(10.65%)
Relevant: 72(1.46%)
Irrelevant: 4326(87.89%)
Total Iteration: 27
Time taken: 0.52 seconds

-----------------------------------------------------------
Cluster 	| RanK 			| Channel Name
Relevant 		|11th			| 5-Minute Crafts
Relevant 		|12th			| Canal KondZilla
Relevant 		|14th			| Ozuna
Relevant 		|15th			| Wave Music
Relevant 		|16th			| Ch3Thailand
Relevant 		|17th			| WORLDSTARHIPHOP
Relevant 		|20th			| WorkpointOfficial
Relevant 		|22nd			| Zee Music Company
Relevant 		|23rd			| SAB TV
Relevant 		|28th			| El Reino Infantil
Relevant 		|39th			| [????] ToyPudding TV
Relevant 		|58th			| CVS 3D Rhymes
Relevant 		|59th			| Maroon5VEVO
Relevant 		|62nd			| 1theK (????)
Relevant 		|64th			| Ed Sheeran
Relevant 		|73rd			| FGTeeV
Relevant 		|75th			| ???? ? ???????
Relevant 		|78th			| Eros Now
Relevant 		|79th			| ChuChu TV Nursery Rhymes & Kids…
Relevant 		|82nd			| Get Movies
Relevant 		|83rd			| SMTOWN
Relevant 		|85th			| Galinha Pintadinha
Relevant 		|100th			| GMM GRAMMY OFFICIAL
Relevant 		|115th			| CookieSwirlC
Relevant 		|117th			| ???? ???? ????? |…
