Auto-Generated Report (Modified K-Means Algorithm with three clusters)
Total Records: 4922
Total Clusters: 3
Most-Relevant: 72(1.46%)
Relevant: 4326(87.89%)
Irrelevant: 524(10.65%)
Total Iteration: 25
Time taken: 0.53 seconds

-----------------------------------------------------------
Cluster 	| RanK 			| Channel Name
Relevant 		|857th			| PlayToys
Relevant 		|858th			| Juguetes con Andre
Relevant 		|859th			| ????????…
Relevant 		|860th			| Saregama Music
Relevant 		|861st			| Selena Martinez
Relevant 		|863rd			| PORKMODZ
Relevant 		|864th			| Irmãos Neto
Relevant 		|865th			| Toys and Fun
Relevant 		|866th			| Tarang TV
Relevant 		|867th			| Bizim Hikaye
Relevant 		|868th			| ???
Relevant 		|869th			| Anupam Movie Songs
Relevant 		|870th			| MessYourself
Relevant 		|871st			| TV Ana Emilia
Relevant 		|872nd			| Mohamed Ramadan
Relevant 		|873rd			| T-Series Regional
Relevant 		|874th			| Saurabh Parikh
Relevant 		|876th			| Dolan Twins
Relevant 		|877th			| MY TOYS PINK
Relevant 		|878th			| FunKeep
Relevant 		|879th			| Vividplays Channel
Relevant 		|880th			| Amit Bhadana
Relevant 		|883rd			| PipeCleanerCrafts B
Relevant 		|885th			| mallemalatv
Relevant 		|887th			| Sumeet Music
Relevant 		|891st			| BillieEilishVEVO
Relevant 		|893rd			| NW news
Relevant 		|894th			| EllaMaiVEVO
Relevant 		|897th			| MegaTV
Relevant 		|899th			| ZicZic Supers Songs
Relevant 		|900th			| Shahid.net
Relevant 		|901st			| Bryant Myers
Relevant 		|906th			| That YouTub3 Family
Relevant 		|907th			| Sessão Dublada
Relevant 		|908th			| SuperZoo - Best cartoon for kids…
Relevant 		|909th			| Bazylland
Relevant 		|910th			| BARBIE FILMES BR
Relevant 		|911th			| DeGoBooM
Relevant 		|912th			| ???????
Relevant 		|914th			| ?????? ??????? Best…
Relevant 		|915th			| Yong Ye
Relevant 		|916th			| Crafty Panda
Relevant 		|917th			| TruthRevolutionNet
Relevant 		|918th			| Sonotek Bhakti
Relevant 		|919th			| JoyJoy Lika
Relevant 		|920th			| Viki Show
Relevant 		|921st			| Movie Clips
Relevant 		|922nd			| Funny Stacy
Relevant 		|923rd			| Ibu dan Balita Indonesia
Relevant 		|925th			| Morgz
Relevant 		|926th			| ON Ent
Relevant 		|927th			| Sing Music Channel
Relevant 		|928th			| MaKar & Nursery Rhymes and Songs
Relevant 		|929th			| ALL THE K-POP
Relevant 		|930th			| Comedy Captain Hindi HD
Relevant 		|931st			| Illslick thelegandary
Relevant 		|933rd			| MundoNovelero
Relevant 		|934th			| PlayCow.com
Relevant 		|935th			| Studio Saraswati Official
Relevant 		|936th			| Show Ana Haber
Relevant 		|937th			| Bollywood Classics
Relevant 		|938th			| WigglePop
Relevant 		|940th			| Rebecca Zamolo
Relevant 		|941st			| HomeAnimations - ????????…
Relevant 		|942nd			| Playtime4kidz
Relevant 		|944th			| Ghi?n Mì Gõ
Relevant 		|945th			| News Tak
Relevant 		|946th			| IULITM
Relevant 		|947th			| 3ater Alsham ??? ?????
Relevant 		|948th			| The Sean Ward Show
Relevant 		|949th			| Gi?ng Ca ?? ??i
Relevant 		|950th			| TBE Kids
Relevant 		|951st			| Fizzy Toy Show
Relevant 		|952nd			| thays7777
Relevant 		|954th			| BIG Magic
Relevant 		|955th			| Amit choudhary
Relevant 		|956th			| JaxJonesVEVO
Relevant 		|963rd			| Turkish Series ????? ????
Relevant 		|964th			| emma chamberlain
Relevant 		|965th			| CNN Indonesia
Relevant 		|966th			| ???
Relevant 		|967th			| Gustavo Mioto
Relevant 		|968th			| Netflix
Relevant 		|969th			| NDJ Film Official
Relevant 		|970th			| Funny Vines
Relevant 		|971st			| jeffreestar
Relevant 		|972nd			| YimYam TV
Relevant 		|973rd			| INSIDER
Relevant 		|974th			| Carnatavr A
Relevant 		|975th			| Learn Colors Rice
Relevant 		|976th			| SHOPEE Indonesia
Relevant 		|977th			| BakLol Video
Relevant 		|978th			| WOW ENGLISH TV
Relevant 		|980th			| SUNDRANI
Relevant 		|981st			| karameeshchannel
Relevant 		|983rd			| Planet Earth INDIA
Relevant 		|984th			| Telefe
Relevant 		|989th			| El Adl Group
Relevant 		|990th			| JUJU Jugando
Relevant 		|991st			| iKON
Relevant 		|992nd			| Gojzer
Relevant 		|993rd			| Saad Lamjarred | ??? ?????
Relevant 		|995th			| storybooth
Relevant 		|997th			| TOY GUMA
Relevant 		|998th			| Les' Copaque Production
Relevant 		|999th			| Earwax Specialist
Relevant 		|1000th			| Jugnu Kids 1Nursery Rhymes and…
Relevant 		|1001st			| IDEAS EN 5 MINUTOS
Relevant 		|1002nd			| Tin Siêu Còi
